service_id,date,exception_type
"5487_613166","20241112","1"
"5487_613166","20241113","1"
"5487_613166","20241114","1"
"5487_613166","20241115","1"
"5487_613166","20241116","1"
"5487_613166","20241118","1"
"5487_613166","20241119","1"
"5487_613166","20241120","1"
"5487_613166","20241121","1"
"5487_613166","20241122","1"
"5487_613166","20241123","1"
"5487_613166","20241125","1"
"5487_613166","20241126","1"
"5487_613166","20241127","1"
"5487_613166","20241128","1"
"5487_613166","20241129","1"
"5487_613166","20241130","1"
"5487_613166","20241202","1"
"5487_613166","20241203","1"
"5487_613166","20241204","1"
"5487_613166","20241205","1"
"5487_613166","20241206","1"
"5487_613166","20241207","1"
"5487_613166","20241209","1"
"5487_613166","20241210","1"
"5487_613166","20241211","1"
"5487_613166","20241212","1"
"5487_613166","20241213","1"
"5487_613166","20241214","1"
"5487_613166","20241216","1"
"5487_613166","20241217","1"
"5487_613166","20241218","1"
"5487_613166","20241219","1"
"5487_613166","20241220","1"
"5487_613166","20241221","1"
"5487_613166","20241223","1"
"5487_613166","20241224","1"
"5487_613166","20241227","1"
"5487_613166","20241228","1"
"5487_613166","20241230","1"
"5487_613166","20241231","1"
"5487_613167","20241007","1"
"5487_613167","20241008","1"
"5487_613167","20241009","1"
"5487_613167","20241010","1"
"5487_613167","20241011","1"
"5487_613167","20241014","1"
"5487_613167","20241015","1"
"5487_613167","20241016","1"
"5487_613167","20241017","1"
"5487_613167","20241018","1"
"5487_613167","20241021","1"
"5487_613167","20241022","1"
"5487_613167","20241023","1"
"5487_613167","20241024","1"
"5487_613167","20241025","1"
"5487_613167","20241028","1"
"5487_613167","20241029","1"
"5487_613167","20241030","1"
"5487_613167","20241031","1"
"5487_613167","20241104","1"
"5487_613167","20241105","1"
"5487_613167","20241106","1"
"5487_613167","20241107","1"
"5487_613167","20241108","1"
"5487_613167","20241111","1"
"5487_613167","20241112","1"
"5487_613167","20241113","1"
"5487_613167","20241114","1"
"5487_613167","20241115","1"
"5487_613167","20241118","1"
"5487_613167","20241119","1"
